timestamp,nifty_change,nifty_price,niftybees_price,buy_amount,monthly_spend,total_invested,total_shares,cost_basis
2026-08-26 10:05:15,-0.5211,24207.75,277.02,250,250.0,250.0,0.9025,277.02
2026-08-27 00:05:44,-0.5211,24207.75,277.02,250,500.0,500.0,1.8049,277.02
2026-08-31 07:38:30,-0.4562,24065.35,274.8,250,750.0,750.0,2.7147,276.28
2026-09-01 10:24:04,-0.496,24055.8,273.25,250,250.0,1000.0,3.6296,275.51
2026-09-02 01:05:55,-0.496,24055.8,273.25,250,500.0,1250.0,4.5445,275.06
2026-09-03 00:45:10,-0.6891,23914.45,272.56,250,750.0,1500.0,5.4617,274.64
2026-09-04 00:19:30,-0.758,23873.45,272.63,350,1100.0,1850.0,6.7455,274.26
2026-09-07 15:13:19,-0.4961,23779.15,271.21,250,1350.0,2100.0,7.6673,273.89
2026-09-08 00:12:58,-0.4961,23779.15,271.21,250,1600.0,2350.0,8.5891,273.6
2026-09-15 16:55:37,-1.1945,23118.6,264.58,500,2100.0,2850.0,10.4789,271.98
2026-09-16 10:07:10,-0.7714,23217.6,265.02,350,2450.0,3200.0,11.7996,271.2
